time	experiment	replicate	live
0	btri	A	0.03174
4	btri	A	0.38311
8	btri	A	5.14535
12	btri	A	10.45245
16	btri	A	12.2683
24	btri	A	8.81665
28	btri	A	9.5416
32	btri	A	9.09125
38	btri	A	6.663
48	btri	A	3.55575
62	btri	A	1.5509
72	btri	A	0.35865
96	btri	A	0.10915
120	btri	A	0.0543
0	btri	B	0.02004
4	btri	B	0.35636
8	btri	B	6.13025
12	btri	B	9.881
16	btri	B	10.54515
24	btri	B	7.9359
28	btri	B	8.66535
32	btri	B	10.5658
38	btri	B	7.2671
48	btri	B	2.8799
62	btri	B	1.5868
72	btri	B	0.83655
96	btri	B	0.1377
120	btri	B	0.0588
0	btri	C	0.02782
4	btri	C	0.34731
8	btri	C	5.2285
12	btri	C	9.7605
16	btri	C	10.3892
24	btri	C	9.4674
28	btri	C	7.7917
32	btri	C	10.22245
38	btri	C	6.83445
48	btri	C	4.98515
62	btri	C	1.73275
72	btri	C	0.98885
96	btri	C	0.2217
120	btri	C	0.06775
0	bhbt	A	0.02988
4	bhbt	A	0.40554
8	bhbt	A	4.4117
12	bhbt	A	8.1311
16	bhbt	A	9.12415
20	bhbt	A	8.8978
24	bhbt	A	8.05085
28	bhbt	A	8.5128
32	bhbt	A	8.57985
36	bhbt	A	6.2343
40	bhbt	A	2.41705
44	bhbt	A	1.28185
48	bhbt	A	0.5634
60	bhbt	A	0.38765
72	bhbt	A	0.1903
96	bhbt	A	0.0588
120	bhbt	A	0.02545
0	bhbt	B	0.02545
4	bhbt	B	0.46241
8	bhbt	B	4.53665
12	bhbt	B	6.06225
16	bhbt	B	9.3279
20	bhbt	B	6.60025
24	bhbt	B	8.43675
28	bhbt	B	8.53795
32	bhbt	B	9.87695
36	bhbt	B	4.7825
40	bhbt	B	3.1465
44	bhbt	B	0.8011
48	bhbt	B	0.96485
60	bhbt	B	0.5733
72	bhbt	B	0.1734
96	bhbt	B	0.02895
120	bhbt	B	0.022
0	bhbt	C	0.02334
4	bhbt	C	0.40694
8	bhbt	C	5.19555
12	bhbt	C	6.4837
16	bhbt	C	10.25
20	bhbt	C	9.09225
24	bhbt	C	8.47405
28	bhbt	C	8.06345
32	bhbt	C	9.05455
36	bhbt	C	4.79845
40	bhbt	C	2.06095
44	bhbt	C	0.6939
48	bhbt	C	0.2349
60	bhbt	C	0.30995
72	bhbt	C	0.08515
96	bhbt	C	0.0247
120	bhbt	C	0.0184
0	bhbtri	A	0.02111
4	bhbtri	A	0.23118
8	bhbtri	A	2.7947
12	bhbtri	A	7.124
16	bhbtri	A	10.5611
20	bhbtri	A	13.5871
24	bhbtri	A	8.766
28	bhbtri	A	7.9097
32	bhbtri	A	9.8989
36	bhbtri	A	9.5953
40	bhbtri	A	8.5927
44	bhbtri	A	8.1362
48	bhbtri	A	7.301
60	bhbtri	A	4.7127
72	bhbtri	A	4.0671
96	bhbtri	A	2.1176
120	bhbtri	A	1.1778
0	bhbtri	B	0.01754
4	bhbtri	B	0.20594
8	bhbtri	B	2.8235
12	bhbtri	B	7.0996
16	bhbtri	B	9.9582
20	bhbtri	B	11.4921
24	bhbtri	B	9.1503
28	bhbtri	B	8.7573
32	bhbtri	B	9.232
36	bhbtri	B	9.7806
40	bhbtri	B	7.0074
44	bhbtri	B	7.7137
48	bhbtri	B	6.1251
60	bhbtri	B	3.4506
72	bhbtri	B	3.1043
96	bhbtri	B	2.1215
120	bhbtri	B	1.1832
