time	experiment	replicate	live_bt
0	bhbtri	A	0.00682
0	bhbtri	B	0.0079
0	bhbtri	C	0.00708
0	bhbtri	D	0.00657
0	bhbtri	E	0.00668
0	bhbtri	F	0.00583
4	bhbtri	A	0.10875
4	bhbtri	B	0.09937
4	bhbtri	C	0.10151
4	bhbtri	D	0.09547
4	bhbtri	E	0.11367
4	bhbtri	F	0.1139
8	bhbtri	A	1.5109
8	bhbtri	B	1.3605
8	bhbtri	C	1.2105
8	bhbtri	D	1.5525
8	bhbtri	E	1.5372
8	bhbtri	F	1.3084
12	bhbtri	A	7.3936
12	bhbtri	B	7.1781
12	bhbtri	C	7.4791
12	bhbtri	D	6.7055
12	bhbtri	E	9.25
12	bhbtri	F	8.7167
16	bhbtri	A	9.8549
16	bhbtri	B	9.2168
16	bhbtri	C	11.1849
16	bhbtri	D	12.9378
16	bhbtri	E	14.9375
16	bhbtri	F	13.5994
20	bhbtri	A	11.0491
20	bhbtri	B	11.7709
20	bhbtri	C	13.8015
20	bhbtri	D	9.8021
20	bhbtri	E	11.2843
20	bhbtri	F	16.7087
24	bhbtri	A	9.9182
24	bhbtri	B	9.9248
24	bhbtri	C	9.8725
24	bhbtri	D	10.6343
24	bhbtri	E	10.0134
24	bhbtri	F	12.1907
28	bhbtri	A	10.024
28	bhbtri	B	9.4541
28	bhbtri	C	7.564
28	bhbtri	D	9.3133
28	bhbtri	E	9.7698
28	bhbtri	F	10.3593
32	bhbtri	A	10.0312
32	bhbtri	B	11.3884
32	bhbtri	C	9.5654
32	bhbtri	D	10.3548
32	bhbtri	E	10.2098
32	bhbtri	F	11.7161
36	bhbtri	A	7.9706
36	bhbtri	B	7.7781
36	bhbtri	C	9.3069
36	bhbtri	D	8.6287
36	bhbtri	E	8.3949
36	bhbtri	F	8.3774
40	bhbtri	A	7.8273
40	bhbtri	B	7.0372
40	bhbtri	C	7.0317
40	bhbtri	D	7.6616
40	bhbtri	E	6.3279
40	bhbtri	F	7.2978
44	bhbtri	A	5.6788
44	bhbtri	B	7.3109
44	bhbtri	C	6.6316
44	bhbtri	D	6.4619
44	bhbtri	E	6.8975
44	bhbtri	F	7.9468
48	bhbtri	A	7.0995
48	bhbtri	B	7.3572
48	bhbtri	C	5.8634
48	bhbtri	D	13.0215
48	bhbtri	E	6.2378
48	bhbtri	F	7.0818
60	bhbtri	A	2.7983
60	bhbtri	B	3.2094
60	bhbtri	C	2.5068
60	bhbtri	D	3.9009
60	bhbtri	E	2.3615
60	bhbtri	F	3.492
72	bhbtri	A	1.9851
72	bhbtri	B	2.3575
72	bhbtri	C	1.6127
72	bhbtri	D	2.3615
72	bhbtri	E	1.4819
72	bhbtri	F	1.9071
96	bhbtri	A	0.4147
96	bhbtri	B	0.4531
96	bhbtri	C	0.3785
96	bhbtri	D	0.5003
96	bhbtri	E	0.2946
96	bhbtri	F	0.3884
120	bhbtri	A	0.1842
120	bhbtri	B	0.1473
120	bhbtri	C	0.1311
120	bhbtri	D	0.172
120	bhbtri	E	0.1149
120	bhbtri	F	0.1921
