time	experiment	replicate	od
0	ri	A	0.017283951
6	ri	A	0.059259259
10	ri	A	0.469135802
13	ri	A	0.918518519
17	ri	A	1
21	ri	A	0.871604938
25	ri	A	0.760493827
29	ri	A	0.70617284
33	ri	A	0.658024691
38	ri	A	0.519753086
41	ri	A	0.497530864
48	ri	A	0.492592593
72	ri	A	0.483950617
0	ri	B	0.018957346
6	ri	B	0.061611374
10	ri	B	0.450236967
13	ri	B	0.914691943
17	ri	B	1
21	ri	B	0.840047393
25	ri	B	0.780805687
29	ri	B	0.708530806
33	ri	B	0.638625592
38	ri	B	0.527251185
41	ri	B	0.501184834
48	ri	B	0.491706161
72	ri	B	0.485781991
0	ri	C	0.012850467
6	ri	C	0.057242991
10	ri	C	0.418224299
13	ri	C	0.843457944
17	ri	C	1
21	ri	C	0.857476636
25	ri	C	0.78271028
29	ri	C	0.70911215
33	ri	C	0.671728972
38	ri	C	0.537383178
41	ri	C	0.5
48	ri	C	0.488317757
72	ri	C	0.482476636
0	ri	D	0.019653179
6	ri	D	0.048554913
10	ri	D	0.375722543
13	ri	D	0.797687861
17	ri	D	1
21	ri	D	0.857803468
25	ri	D	0.798843931
29	ri	D	0.706358382
33	ri	D	0.649710983
38	ri	D	0.538728324
41	ri	D	0.486705202
48	ri	D	0.475144509
72	ri	D	0.473988439
0	ri	E	0.020631068
6	ri	E	0.053398058
10	ri	E	0.35315534
13	ri	E	0.730582524
17	ri	E	1
21	ri	E	0.876213592
25	ri	E	0.783980583
29	ri	E	0.696601942
33	ri	E	0.638349515
38	ri	E	0.520631068
41	ri	E	0.46723301
48	ri	E	0.461165049
72	ri	E	0.464805825
0	ri	F	0.018072289
6	ri	F	0.063855422
10	ri	F	0.437349398
13	ri	F	0.863855422
17	ri	F	1
21	ri	F	0.862650602
25	ri	F	0.778313253
29	ri	F	0.725301205
33	ri	F	0.64939759
38	ri	F	0.51686747
41	ri	F	0.48313253
48	ri	F	0.471084337
72	ri	F	0.472289157
0	btri	A	0.005512679
4	btri	A	0.034178611
8	btri	A	0.306504961
12	btri	A	0.745314223
16	btri	A	1
24	btri	A	0.800441014
28	btri	A	0.758544653
32	btri	A	0.686879824
38	btri	A	0.61631753
48	btri	A	0.599779493
62	btri	A	0.628445424
72	btri	A	0.637265711
96	btri	A	0.635060639
120	btri	A	0.64277839
0	btri	B	0.007423118
4	btri	B	0.032873807
8	btri	B	0.341463415
12	btri	B	0.782608696
16	btri	B	1
24	btri	B	0.758218452
28	btri	B	0.738069989
32	btri	B	0.679745493
38	btri	B	0.581124072
48	btri	B	0.5747614
62	btri	B	0.609756098
72	btri	B	0.611876988
96	btri	B	0.612937434
120	btri	B	0.632025451
0	btri	C	0.005364807
4	btri	C	0.037553648
8	btri	C	0.311158798
12	btri	C	0.740343348
16	btri	C	1
24	btri	C	0.78111588
28	btri	C	0.743562232
32	btri	C	0.696351931
38	btri	C	0.591201717
48	btri	C	0.579399142
62	btri	C	0.61695279
72	btri	C	0.606223176
96	btri	C	0.610515021
120	btri	C	0.621244635
0	bhri	A	0.008988764
4	bhri	A	0.03258427
8	bhri	A	0.295505618
12	bhri	A	0.714606742
16	bhri	A	1
20	bhri	A	0.866292135
24	bhri	A	0.735955056
28	bhri	A	0.671910112
32	bhri	A	0.629213483
36	bhri	A	0.542696629
48	bhri	A	0.45505618
60	bhri	A	0.473033708
72	bhri	A	0.468539326
96	bhri	A	0.453932584
120	bhri	A	0.451685393
0	bhri	B	0.002352941
4	bhri	B	0.032941176
8	bhri	B	0.425882353
12	bhri	B	0.963529412
16	bhri	B	1
20	bhri	B	0.86
24	bhri	B	0.752941176
28	bhri	B	0.714117647
32	bhri	B	0.595294118
36	bhri	B	0.485882353
48	bhri	B	0.464705882
60	bhri	B	0.468235294
72	bhri	B	0.490588235
96	bhri	B	0.471764706
120	bhri	B	0.481176471
0	bhri	C	0.007734807
4	bhri	C	0.030939227
8	bhri	C	0.314917127
12	bhri	C	0.761325967
16	bhri	C	1
20	bhri	C	0.819889503
24	bhri	C	0.704972376
28	bhri	C	0.655248619
32	bhri	C	0.596685083
36	bhri	C	0.504972376
48	bhri	C	0.453038674
60	bhri	C	0.458563536
72	bhri	C	0.476243094
96	bhri	C	0.460773481
120	bhri	C	0.455248619
0	bhbtri	A	0.000913242
4	bhbtri	A	0.02283105
8	bhbtri	A	0.155251142
12	bhbtri	A	0.374429224
16	bhbtri	A	1
20	bhbtri	A	0.97716895
24	bhbtri	A	0.694063927
28	bhbtri	A	0.625570776
32	bhbtri	A	0.506849315
36	bhbtri	A	0.465753425
40	bhbtri	A	0.406392694
44	bhbtri	A	0.337899543
48	bhbtri	A	0.328767123
60	bhbtri	A	0.287671233
72	bhbtri	A	0.351598174
96	bhbtri	A	0.365296804
120	bhbtri	A	0.305936073
0	bhbtri	B	0.001754386
4	bhbtri	B	0.018421053
8	bhbtri	B	0.179824561
12	bhbtri	B	0.359649123
16	bhbtri	B	1
20	bhbtri	B	0.885964912
24	bhbtri	B	0.640350877
28	bhbtri	B	0.552631579
32	bhbtri	B	0.473684211
36	bhbtri	B	0.390350877
40	bhbtri	B	0.372807018
44	bhbtri	B	0.320175439
48	bhbtri	B	0.293859649
60	bhbtri	B	0.289473684
72	bhbtri	B	0.320175439
96	bhbtri	B	0.333333333
120	bhbtri	B	0.337719298
